trace,config,Sets,Ways,ACCESS,HIT,MISS
437.leslie3d,lru_no_prefetch,256,8,1473160,623276,849884
437.leslie3d,lru_no_prefetch,512,8,1473126,742264,730862
437.leslie3d,lru_no_prefetch,512,16,1473132,906839,566293
437.leslie3d,lru_no_prefetch,1024,8,1473094,902632,570462
437.leslie3d,lru_no_prefetch,1024,16,1473133,1065825,407308
437.leslie3d,ship_no_prefetch,256,8,1466212,535037,931175
437.leslie3d,ship_no_prefetch,512,8,1468757,594852,873905
437.leslie3d,ship_no_prefetch,512,16,1468758,619494,849264
437.leslie3d,ship_no_prefetch,1024,8,1471131,687438,783693
437.leslie3d,ship_no_prefetch,1024,16,1471086,699499,771587
437.leslie3d,ship_spp_dev_pf,256,8,3445460,830302,2615158
437.leslie3d,ship_spp_dev_pf,512,8,4874486,1580187,3294299
437.leslie3d,ship_spp_dev_pf,512,16,5306961,2367923,2939038
437.leslie3d,ship_spp_dev_pf,1024,8,6514126,2820802,3693324
437.leslie3d,ship_spp_dev_pf,1024,16,6705294,3330180,3375114
453.povray,lru_no_prefetch,256,8,1126569,1080360,46209
453.povray,lru_no_prefetch,512,8,1126551,1126424,127
453.povray,lru_no_prefetch,512,16,1126551,1126442,109
453.povray,lru_no_prefetch,1024,8,1126551,1126442,109
453.povray,lru_no_prefetch,1024,16,1126551,1126442,109
453.povray,ship_no_prefetch,256,8,1126598,1063419,63179
453.povray,ship_no_prefetch,512,8,1126504,1125967,537
453.povray,ship_no_prefetch,512,16,1126551,1126442,109
453.povray,ship_no_prefetch,1024,8,1126551,1126442,109
453.povray,ship_no_prefetch,1024,16,1126551,1126442,109
453.povray,ship_spp_dev_pf,256,8,1739277,1486867,252410
453.povray,ship_spp_dev_pf,512,8,1770517,1544474,226043
453.povray,ship_spp_dev_pf,512,16,1766672,1545468,221204
453.povray,ship_spp_dev_pf,1024,8,1764222,1543348,220874
453.povray,ship_spp_dev_pf,1024,16,1766672,1545468,221204
625.x264_s,lru_no_prefetch,256,8,37064,8882,28182
625.x264_s,lru_no_prefetch,512,8,37064,9163,27901
625.x264_s,lru_no_prefetch,512,16,37064,9183,27881
625.x264_s,lru_no_prefetch,1024,8,37064,9274,27790
625.x264_s,lru_no_prefetch,1024,16,37063,11774,25289
625.x264_s,ship_no_prefetch,256,8,37064,3394,33670
625.x264_s,ship_no_prefetch,512,8,37064,6903,30161
625.x264_s,ship_no_prefetch,512,16,37063,12445,24618
625.x264_s,ship_no_prefetch,1024,8,37063,12918,24145
625.x264_s,ship_no_prefetch,1024,16,37063,20118,16945
625.x264_s,ship_spp_dev_pf,256,8,90140,16185,73955
625.x264_s,ship_spp_dev_pf,512,8,91660,27160,64500
625.x264_s,ship_spp_dev_pf,512,16,92847,29947,62900
625.x264_s,ship_spp_dev_pf,1024,8,98300,53301,44999
625.x264_s,ship_spp_dev_pf,1024,16,98300,53301,44999